conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

10,130.233.85.169,64.233.161.188,57197,5228,1431155321.140175 , 1431163166.704253 ,            185,            184,              0,              0,            185,            184,              6,            178,              0,            173,              0,            173,              0,              1,            166,            165,            178,              5,            338,            165,            172,              0,            172,              0,              0,              0,              0,              0,              0,              0,              5,              5,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,            173,              0,              0,              0,              0,              0,              0,             33,             33,              1,             33,              1,             32,            256,            361,             60,            361,              0,              0,            199,            361,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,       7813.007,       6720.099,        45211.0,        45210.9,              0,              0,              0,              0,              7,              6,           17.0,            0.3,           19.7,           94.1,           18.0,           54.0,            1.0,           30.9,            0.0,            0.0,              2,              1,           17.0,            0.3,           19.1,            0.3,           18.1,            0.3,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,            172,              1,              6,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
11,130.233.85.169,172.231.138.125,57310,443,1431155328.89287 , 1431155328.98275 ,              2,              2,              1,              0,              2,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,             53,              0,              1,              0,             53,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,             53,              0,             53,              0,             52,           1077,            557,           1077,            557,              0,              0,            538,            557,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            8.5,            0.6,              0,              0,              0,           5897,              1,              1,            8.3,            0.1,            8.3,            0.1,            8.3,            0.1,            0.0,            0.0,            0.0,            0.0,              1,              1,            8.3,            0.1,            8.3,            0.1,            8.3,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
12,130.233.85.169,199.16.156.120,57349,443,1431155335.465418 , 1431156750.362369 ,             41,             49,              1,              0,             41,             49,              3,             36,              0,             30,              0,             30,              0,              1,           3068,            832,             36,             12,           3097,            832,             29,              0,             29,              0,              0,              0,              0,              0,              0,              0,              6,             12,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,             30,              0,              0,              0,              0,              0,              0,            991,            105,              1,             31,             86,             69,             64,             99,             59,             71,              0,              0,             60,             90,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,       1372.792,       1065.445,        45313.6,        45311.6,              0,              0,              2,              1,              8,              5,          139.8,            0.1,          147.3,            0.4,          141.9,            0.3,            3.3,            0.1,            0.0,            0.0,              2,              3,          139.8,            0.1,          139.8,            0.4,          139.8,            0.2,            0.0,            0.2,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              6,             30,              0,              2,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
13,130.233.85.169,52.5.35.76,57357,443,1431155336.465320 , 1431155456.308676 ,              5,              5,              1,              0,              5,              5,              0,              3,              0,              3,              0,              3,              0,              1,              1,             31,              3,              1,              3,             31,              2,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              1,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              3,              0,              0,              0,              0,              0,              0,              1,             31,              1,             31,              0,             30,             64,             79,             64,             79,              0,              0,             51,             79,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,         90.251,          0.000,        45130.7,        45131.1,              0,              0,              0,              0,              2,              1,          111.1,            0.2,          112.7,            0.2,          111.9,            0.2,            0.0,            0.0,            0.0,            0.0,              2,              1,          111.1,            0.2,          112.7,            0.2,          111.9,            0.2,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              3,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
14,108.160.162.102,130.233.85.169,443,57264,1431155342.970213 , 1431158022.409217 ,            129,             65,              0,              1,            129,             65,             63,              1,              0,              0,              0,              0,              0,              0,          17765,          29862,             65,             63,          17765,          29862,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,             65,             63,            0/1,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,            277,            474,             37,            474,            273,            473,             83,            256,             83,             59,              0,              0,             83,             96,            277,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,       2678.817,       2634.660,        54918.9,        55096.7,              0,              0,              7,             11,             64,             63,            0.2,          175.0,           37.8,          197.4,            3.2,          176.4,            4.4,            2.9,            0.0,            0.0,              1,             63,            0.2,          175.0,            0.2,          197.4,            0.2,          176.4,            0.0,            2.9,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              2,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
15,130.233.85.169,162.159.241.165,57360,443,1431155344.81325 , 1431155344.90405 ,              2,              1,              0,              0,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           1021,             32,           1021,             32,              0,              0,           1021,             32,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            9.1,            0.0,              0,              0,              0,              0,              1,              1,            8.9,            0.1,            8.9,            0.1,            8.9,            0.1,            0.0,            0.0,            0.0,            0.0,              1,              1,            8.9,            0.1,            8.9,            0.1,            8.9,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
16,108.162.232.207,130.233.85.169,80,57361,1431155345.316247 , 1431155345.343479 ,              2,              2,              0,              0,              2,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,             30,             64,             30,             64,              0,              0,             30,             64,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,           27.2,            0.0,              0,              0,              0,              0,              1,              1,            0.2,           27.0,            0.2,           27.0,            0.2,           27.0,            0.0,            0.0,            0.0,            0.0,              1,              1,            0.2,           27.0,            0.2,           27.0,            0.2,           27.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
17,130.233.85.169,157.56.121.231,57363,443,1431155367.699589 , 1431155501.927773 ,              6,              5,              0,              1,              5,              5,              4,              0,              0,              0,              0,              0,              0,              0,            185,           2942,              1,              3,            185,           2942,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            185,           1460,            185,             22,            184,            980,         262144,          65536,         261888,          65536,              0,              0,         262092,          49152,            185,           1460,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.046,           50.9,       134086.5,              0,              0,              1,             22,              2,              4,           43.7,            0.1,           50.8,            0.3,           47.2,            0.2,            0.0,            0.1,           43.7,            0.3,              1,              1,           43.7,            0.3,           43.7,            0.3,           43.7,            0.3,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
18,130.233.85.169,65.52.108.27,57364,443,1431155392.245734 , 1431155407.587543 ,             12,              8,              0,              0,             11,              8,              7,              1,              0,              0,              0,              0,              0,              0,            826,           4656,              3,              5,            826,           4656,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/1,            1/1,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,            437,           1460,            175,            107,            275,            931,         262144,         131328,         260864,         130560,              0,              0,         261748,         130889,            175,           1460,              1,              1,            826,           4656,              0,              0,              0,              0,              0,              0,         14.979,         14.983,        14855.8,        14974.3,              0,              0,             54,            303,              4,              7,          115.8,            0.1,          119.5,            0.6,          117.5,            0.2,            1.6,            0.2,          117.2,            0.2,              2,              2,          115.8,            0.2,          117.2,            0.2,          116.5,            0.2,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
19,130.233.85.169,65.52.108.27,57365,443,1431155392.449483 , 1431155407.590663 ,             11,              8,              0,              0,             10,              8,              6,              1,              0,              0,              0,              0,              0,              0,            826,           4656,              3,              5,            826,           4656,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/1,            1/1,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,            437,           1460,            175,            107,            275,            931,         262144,         131328,         261120,         130560,              0,              0,         261811,         130889,            175,           1460,              1,              1,            826,           4656,              0,              0,              0,              0,              0,              0,         14.778,         14.781,        14654.0,        14772.6,              0,              0,             55,            308,              4,              6,          117.3,            0.1,          121.7,            0.2,          118.9,            0.1,            1.9,            0.0,          118.6,            0.2,              2,              2,          117.3,            0.2,          118.6,            0.2,          117.9,            0.2,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              1,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
