actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a
1874	4423	5	0	344.6	0.4	87.8	0.2
0	0	0	0	265.7	0.4	0.0	0.0
512	4306	0	0	14.0	0.4	6.9	0.1
733	251	0	0	11.5	3.1	2.0	4.9
509	4291	0	0	11.8	0.4	2.7	0.2
508	4290	0	0	10.6	0.3	0.1	0.0
32693	28248	5	0	15.5	0.4	12.8	0.5
749	6956	0	0	20.7	0.6	19.7	0.7
29483	58645	66	1	34.8	26.4	25.3	32.7
27350	27254	0	2	23.1	19.6	21.2	30.9
55412	985412	48	2	23.3	3.6	21.1	12.8
506	4333	0	1	22.5	0.3	26.5	0.0
1058	1172	0	0	39.3	0.2	18.9	0.0
802	1524	0	0	39.3	0.3	18.7	0.1
2985	50629	5	1	15.6	0.2	11.7	0.1
733	251	0	0	10.7	1.2	1.4	1.7
1122	27591	5	0	18.7	0.2	14.4	0.2
913	14816	0	0	30.2	0.2	2.0	0.0
844	12750	0	1	52.5	0.9	38.2	1.4
287	1718	0	0	11.9	0.2	1.3	0.0
293	1691	0	0	9.7	0.1	0.6	0.0
600	3925	0	0	11.5	0.2	1.2	0.0
295	2080	0	0	10.9	0.2	0.9	0.0
6224	137828	0	0	10.3	12.3	2.1	23.9
749	6872	0	0	17.3	0.3	18.0	0.4
1892	3646	0	0	49.1	0.2	3.4	0.0
2057	3518	0	0	48.6	0.1	1.2	0.0
3119	5907	5	0	26.7	0.2	20.2	0.1
291	1984	5	0	9.8	0.2	0.3	0.0
6613	140431	0	0	10.6	17.5	1.7	42.6
241	1863	0	0	10.3	0.1	0.3	0.0
3161	3310	0	0	53.6	0.1	11.2	0.0
129241	55375	0	0	157.6	0.3	40.7	0.2
1945	3550	0	0	47.6	0.1	3.5	0.0
3161	3310	0	0	55.2	0.1	6.9	0.0
14529	299327	0	1	7.2	0.6	13.2	0.5
713	207	6	0	40.9	72.7	65.7	125.6
2654	2454	0	0	180.6	0.9	5.9	1.2
4668	102763	0	0	13.4	18.7	7.1	53.2
8016	161690	0	0	24.5	1.3	44.4	4.0
134373	4934	0	0	155.4	18.4	11.2	29.8
2368	5871	0	0	15.8	13.3	12.4	26.3
749	6624	0	0	18.3	0.3	17.1	0.3
2654	2454	0	0	182.5	0.2	1.2	0.1
1496	4688	5	1	17.8	0.4	7.1	0.4
512	4017	0	1	12.1	0.2	4.4	0.1
23729	532645	0	1	13.6	14.4	12.9	36.5
0	0	0	0	0.0	0.0	0.0	0.0
2666	2454	0	0	180.3	0.2	0.6	0.1
749	6797	0	0	17.5	0.3	17.8	0.3
2666	2454	0	0	183.2	6.2	1.3	10.5
49028	39779706	0	0	30.4	0.4	27.0	3.3
